epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,347.708,1.4494,1.8289,1.09155,0.4831,0.25096,0.28459,0.16985,1.30264,1.13235,1.01593,0.00332781,0.00332781,0.00332781
2,779.045,1.40937,1.24082,1.07431,0.47718,0.31272,0.31474,0.18281,1.30531,1.05436,1.02687,0.0065952,0.0065952,0.0065952
3,1208.4,1.45446,1.20224,1.09345,0.50757,0.32386,0.32666,0.19297,1.3634,1.10104,1.04273,0.00979659,0.00979659,0.00979659
4,1609.92,1.4703,1.15334,1.10066,0.43898,0.30291,0.29035,0.16586,1.38216,1.09441,1.057,0.009703,0.009703,0.009703
5,2053.33,1.42686,1.06179,1.08426,0.52869,0.31158,0.35583,0.19905,1.30456,0.93052,1.0285,0.009604,0.009604,0.009604
6,2460.7,1.39836,1.01336,1.07783,0.53034,0.3245,0.36466,0.21371,1.3112,0.91771,1.03868,0.009505,0.009505,0.009505
7,2894.14,1.3674,0.97279,1.06322,0.54621,0.37576,0.3953,0.22939,1.26596,0.86581,1.01668,0.009406,0.009406,0.009406
8,3324.09,1.35061,0.94764,1.05783,0.60887,0.30469,0.369,0.22456,1.24422,0.86889,1.00771,0.009307,0.009307,0.009307
9,3755.19,1.31994,0.91266,1.04855,0.50383,0.36227,0.37616,0.22488,1.23519,0.83569,1.00263,0.009208,0.009208,0.009208
10,4186.21,1.31212,0.89941,1.04307,0.54784,0.36286,0.39619,0.23982,1.22045,0.83722,1.00216,0.009109,0.009109,0.009109
11,4612.27,1.30504,0.88962,1.04374,0.5502,0.38232,0.41576,0.25267,1.20328,0.79961,0.99522,0.00901,0.00901,0.00901
12,5036,1.29556,0.875,1.03598,0.56089,0.40556,0.41839,0.25558,1.18483,0.78433,0.9913,0.008911,0.008911,0.008911
13,5490.02,1.2836,0.86315,1.02957,0.6169,0.34719,0.42267,0.25806,1.17763,0.7743,0.98214,0.008812,0.008812,0.008812
14,5995.95,1.27475,0.85075,1.02784,0.63754,0.34311,0.421,0.258,1.17773,0.76093,0.98281,0.008713,0.008713,0.008713
15,6421.13,1.27477,0.85006,1.02811,0.56495,0.37922,0.42021,0.26054,1.16628,0.75753,0.98296,0.008614,0.008614,0.008614
16,6845.69,1.26664,0.83495,1.02353,0.51105,0.39829,0.43182,0.26728,1.16194,0.75,0.98102,0.008515,0.008515,0.008515
17,7269.34,1.25707,0.82957,1.01983,0.60949,0.37308,0.4304,0.26007,1.16441,0.75612,0.97718,0.008416,0.008416,0.008416
18,7694.36,1.24619,0.82293,1.01684,0.62214,0.36956,0.43473,0.26604,1.1477,0.74051,0.97386,0.008317,0.008317,0.008317
19,8118.52,1.23917,0.81246,1.01627,0.57185,0.37171,0.43662,0.27217,1.14155,0.72806,0.97345,0.008218,0.008218,0.008218
20,8541.95,1.23379,0.80449,1.01149,0.58758,0.40213,0.45004,0.27939,1.13566,0.72717,0.96736,0.008119,0.008119,0.008119
21,8967.27,1.23074,0.80569,1.01251,0.61578,0.3977,0.44769,0.2778,1.13328,0.72502,0.96719,0.00802,0.00802,0.00802
22,9390.89,1.22476,0.79522,1.00753,0.60661,0.40238,0.46006,0.28383,1.13315,0.71641,0.96747,0.007921,0.007921,0.007921
23,9814.22,1.21798,0.79266,1.00454,0.61704,0.40469,0.44846,0.27736,1.13349,0.71087,0.96561,0.007822,0.007822,0.007822
24,10237.5,1.21814,0.78826,1.00617,0.61894,0.40677,0.45902,0.28998,1.12615,0.70764,0.96628,0.007723,0.007723,0.007723
25,10660.5,1.20765,0.78246,1.0019,0.60651,0.42022,0.46986,0.29323,1.12052,0.7019,0.96141,0.007624,0.007624,0.007624
26,11084.2,1.20555,0.77235,1.00001,0.65508,0.41827,0.47142,0.28903,1.11316,0.69825,0.96181,0.007525,0.007525,0.007525
27,11508.1,1.20676,0.77759,1.00016,0.61557,0.44445,0.4793,0.29691,1.11628,0.69494,0.96033,0.007426,0.007426,0.007426
28,11932,1.1961,0.76552,0.99706,0.60902,0.4283,0.46941,0.29393,1.10655,0.69642,0.95727,0.007327,0.007327,0.007327
29,12356,1.20014,0.76668,0.99761,0.60027,0.42278,0.46974,0.29149,1.11224,0.69379,0.95854,0.007228,0.007228,0.007228
30,12779.7,1.19196,0.76137,0.99514,0.61131,0.41097,0.47024,0.29493,1.1048,0.68707,0.96015,0.007129,0.007129,0.007129
31,13203.8,1.19519,0.76311,0.99604,0.59102,0.42029,0.46525,0.29226,1.09834,0.68798,0.9561,0.00703,0.00703,0.00703
32,13628.3,1.18918,0.75593,0.99221,0.62731,0.40439,0.46303,0.29187,1.09245,0.67813,0.95417,0.006931,0.006931,0.006931
33,14053.1,1.18201,0.75282,0.99326,0.57938,0.43432,0.46665,0.29265,1.09791,0.68225,0.9562,0.006832,0.006832,0.006832
34,14477.8,1.18524,0.74836,0.99142,0.59123,0.43755,0.47781,0.29994,1.09203,0.67385,0.95477,0.006733,0.006733,0.006733
35,14901,1.17857,0.74847,0.98896,0.67498,0.4061,0.47859,0.30154,1.09638,0.67156,0.95637,0.006634,0.006634,0.006634
36,15324.5,1.17335,0.74316,0.98743,0.61278,0.43154,0.47773,0.3017,1.08833,0.67053,0.95418,0.006535,0.006535,0.006535
37,15747.7,1.17461,0.74249,0.98847,0.62908,0.41425,0.48386,0.30555,1.08972,0.67131,0.95129,0.006436,0.006436,0.006436
38,16212.7,1.16799,0.74149,0.98645,0.65468,0.41084,0.48654,0.30683,1.08578,0.66678,0.95093,0.006337,0.006337,0.006337
39,16545.7,1.16455,0.73281,0.98398,0.66387,0.40399,0.48789,0.31034,1.08343,0.66586,0.95258,0.006238,0.006238,0.006238
40,310.281,1.16125,0.72861,0.98188,0.59,0.43342,0.48451,0.30764,1.08363,0.65872,0.95227,0.006139,0.006139,0.006139
41,729.827,1.15728,0.72719,0.98213,0.62856,0.44144,0.48636,0.30603,1.08108,0.65934,0.95295,0.00604,0.00604,0.00604
42,1163.17,1.16126,0.72933,0.98314,0.62252,0.4396,0.48795,0.30479,1.08233,0.65932,0.95087,0.005941,0.005941,0.005941
43,1583.37,1.15615,0.72191,0.97904,0.64808,0.41823,0.48118,0.30577,1.07641,0.65421,0.94964,0.005842,0.005842,0.005842
44,1998.28,1.15161,0.72046,0.97738,0.6803,0.40239,0.48855,0.31283,1.06864,0.65417,0.94703,0.005743,0.005743,0.005743
