epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1331.78,3.06577,4.99229,3.51756,0.80388,0.06989,0.05521,0.02204,2.56483,3.34832,2.77102,0.00332667,0.00332667,0.00332667
2,2484.9,2.10839,3.12706,2.42558,0.71691,0.0954,0.09338,0.04103,2.20059,2.70221,2.31032,0.00659407,0.00659407,0.00659407
3,3632.38,1.72919,2.22687,1.99911,0.76024,0.1464,0.15195,0.0779,1.8239,1.90939,1.97354,0.00979547,0.00979547,0.00979547
4,4772.24,1.46386,1.6943,1.72882,0.81741,0.17828,0.20073,0.10465,1.71567,1.57153,1.81036,0.009703,0.009703,0.009703
5,5908.19,1.28271,1.36376,1.54845,0.44438,0.2213,0.21774,0.11445,1.71229,1.50446,1.80433,0.009604,0.009604,0.009604
6,7041.52,1.17001,1.19718,1.44479,0.45164,0.26154,0.26306,0.14548,1.56379,1.33747,1.65588,0.009505,0.009505,0.009505
7,8180.58,1.09341,1.09235,1.37681,0.47668,0.26612,0.27051,0.14852,1.5782,1.35435,1.65112,0.009406,0.009406,0.009406
8,9315.22,1.04164,1.02386,1.32591,0.53714,0.26554,0.28526,0.16402,1.50197,1.26273,1.58984,0.009307,0.009307,0.009307
9,10451.6,1.00051,0.97368,1.29317,0.47499,0.31132,0.29722,0.16852,1.49411,1.1673,1.58411,0.009208,0.009208,0.009208
10,11588.3,0.95925,0.93008,1.26495,0.49588,0.33364,0.30685,0.17587,1.46471,1.16851,1.56117,0.009109,0.009109,0.009109
11,12547,0.92975,0.89866,1.24131,0.52609,0.2847,0.29114,0.17066,1.4991,1.26989,1.59666,0.00901,0.00901,0.00901
12,13815.9,0.91104,0.87385,1.22398,0.5368,0.31798,0.31333,0.17894,1.45671,1.15252,1.55844,0.008911,0.008911,0.008911
13,15010.7,0.8891,0.85313,1.20886,0.56497,0.31784,0.31547,0.18227,1.45253,1.17302,1.55329,0.008812,0.008812,0.008812
14,16195.6,0.86897,0.81715,1.18713,0.56719,0.30552,0.31349,0.18298,1.46939,1.21988,1.56449,0.008713,0.008713,0.008713
15,17413.6,0.85392,0.80149,1.17507,0.57229,0.32932,0.3259,0.19113,1.44064,1.14337,1.54436,0.008614,0.008614,0.008614
16,18291.6,0.83991,0.79192,1.16738,0.56338,0.32821,0.33314,0.19438,1.4252,1.17664,1.52574,0.008515,0.008515,0.008515
