epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,760.881,1.4031,2.34143,1.20586,0.78276,0.24124,0.27487,0.15597,1.41194,1.92093,1.27005,0.00332684,0.00332684,0.00332684
2,1488.7,1.28684,1.44996,1.14273,0.63203,0.40902,0.44245,0.25978,1.24998,1.15984,1.12523,0.00659423,0.00659423,0.00659423
3,2214.84,1.30297,1.25111,1.15658,0.69619,0.30801,0.34879,0.19813,1.40711,1.30606,1.25211,0.00979563,0.00979563,0.00979563
4,2938.23,1.31619,1.12351,1.16247,0.56063,0.39158,0.45447,0.26509,1.25168,1.03157,1.14038,0.009703,0.009703,0.009703
5,3662.57,1.29106,1.03118,1.15541,0.49882,0.40754,0.45008,0.26356,1.29598,1.0442,1.17673,0.009604,0.009604,0.009604
6,4387.56,1.26566,0.97437,1.1403,0.59923,0.46615,0.5273,0.3197,1.21138,0.90129,1.12405,0.009505,0.009505,0.009505
7,5112.6,1.24985,0.9414,1.13229,0.60741,0.47367,0.54072,0.33393,1.19178,0.86997,1.10593,0.009406,0.009406,0.009406
8,5836.82,1.23551,0.91378,1.12682,0.58162,0.52046,0.55562,0.34124,1.17999,0.83931,1.10264,0.009307,0.009307,0.009307
9,6560.13,1.22615,0.89548,1.11967,0.60496,0.51072,0.57114,0.34906,1.17985,0.84593,1.10538,0.009208,0.009208,0.009208
10,7283.77,1.21348,0.88342,1.11473,0.6097,0.47876,0.55251,0.34318,1.20547,0.86639,1.11987,0.009109,0.009109,0.009109
11,8008.31,1.20334,0.85935,1.10747,0.74326,0.53063,0.58796,0.37021,1.16612,0.81926,1.09914,0.00901,0.00901,0.00901
12,8732.97,1.19273,0.84888,1.10294,0.74119,0.5221,0.58637,0.36238,1.16535,0.81505,1.09471,0.008911,0.008911,0.008911
13,9458.09,1.18532,0.83487,1.09782,0.74697,0.53028,0.58314,0.37205,1.15849,0.8057,1.09266,0.008812,0.008812,0.008812
14,10183.1,1.18104,0.82766,1.09525,0.7982,0.54053,0.61125,0.38422,1.14822,0.78477,1.09067,0.008713,0.008713,0.008713
15,10912,1.17506,0.81602,1.09363,0.65157,0.52616,0.60334,0.38558,1.14144,0.78304,1.08524,0.008614,0.008614,0.008614
16,11649.9,1.16848,0.80834,1.08841,0.63592,0.55061,0.60537,0.39006,1.13986,0.76429,1.08057,0.008515,0.008515,0.008515
17,12379,1.16716,0.80213,1.08706,0.65944,0.52897,0.61392,0.39596,1.12978,0.75741,1.076,0.008416,0.008416,0.008416
18,13108.2,1.16215,0.79652,1.0862,0.77633,0.55475,0.61047,0.39751,1.13424,0.75659,1.07642,0.008317,0.008317,0.008317
19,13836.6,1.15526,0.78991,1.08084,0.64733,0.56457,0.63029,0.4082,1.12597,0.73248,1.0685,0.008218,0.008218,0.008218
20,14567.1,1.15182,0.7839,1.08098,0.8206,0.5327,0.62206,0.403,1.12427,0.7393,1.07002,0.008119,0.008119,0.008119
21,15295.9,1.14709,0.77814,1.07892,0.82043,0.54878,0.63343,0.41217,1.1241,0.73612,1.07,0.00802,0.00802,0.00802
22,16025.3,1.14152,0.76966,1.07031,0.65751,0.56418,0.63605,0.41558,1.11492,0.73315,1.06126,0.007921,0.007921,0.007921
23,16755.4,1.13924,0.76354,1.07303,0.77918,0.56957,0.63616,0.41018,1.11156,0.72968,1.065,0.007822,0.007822,0.007822
24,17485.2,1.14044,0.76474,1.071,0.80462,0.55853,0.63457,0.41068,1.10697,0.72514,1.06064,0.007723,0.007723,0.007723
25,18215.9,1.13014,0.75573,1.06721,0.81777,0.55947,0.64545,0.4246,1.10052,0.71907,1.05487,0.007624,0.007624,0.007624
26,18945.7,1.13052,0.75191,1.06706,0.80919,0.58029,0.64868,0.41882,1.1112,0.71068,1.06124,0.007525,0.007525,0.007525
27,19675.3,1.13167,0.75146,1.06784,0.81315,0.57951,0.65294,0.42993,1.09753,0.70264,1.05429,0.007426,0.007426,0.007426
28,20403.1,1.12424,0.74055,1.06318,0.8284,0.57091,0.65396,0.42846,1.09786,0.70596,1.05334,0.007327,0.007327,0.007327
29,21131.9,1.11966,0.7398,1.0613,0.82899,0.58373,0.65848,0.43353,1.09346,0.6993,1.05273,0.007228,0.007228,0.007228
30,21861.7,1.11603,0.73548,1.06005,0.82307,0.59533,0.66341,0.43439,1.09231,0.69617,1.04997,0.007129,0.007129,0.007129
31,22589.2,1.11363,0.73432,1.06093,0.81372,0.58628,0.66294,0.43998,1.0932,0.68916,1.05081,0.00703,0.00703,0.00703
32,23317.7,1.11566,0.72925,1.0601,0.80544,0.61215,0.66855,0.44292,1.08525,0.68465,1.04801,0.006931,0.006931,0.006931
33,24045.8,1.11136,0.72498,1.05622,0.68792,0.60011,0.67749,0.44423,1.08878,0.68263,1.04775,0.006832,0.006832,0.006832
34,24774.9,1.11004,0.72552,1.058,0.6786,0.59927,0.67225,0.44593,1.08168,0.68191,1.04625,0.006733,0.006733,0.006733
35,25503.9,1.10714,0.72089,1.05324,0.83877,0.60023,0.67516,0.44882,1.0878,0.67685,1.04658,0.006634,0.006634,0.006634
36,26233.8,1.10591,0.718,1.05186,0.84224,0.60174,0.68231,0.4554,1.08417,0.67171,1.0444,0.006535,0.006535,0.006535
37,26962.5,1.09813,0.71158,1.05014,0.84813,0.60242,0.68218,0.45314,1.08157,0.66777,1.04313,0.006436,0.006436,0.006436
38,27691.2,1.09742,0.70536,1.04751,0.84476,0.59173,0.67876,0.4492,1.08072,0.6657,1.04329,0.006337,0.006337,0.006337
39,28418.9,1.09552,0.70511,1.04799,0.84707,0.60283,0.68514,0.45797,1.07459,0.66503,1.04177,0.006238,0.006238,0.006238
40,29148.3,1.09136,0.70081,1.04668,0.83457,0.60025,0.67891,0.45027,1.07603,0.66097,1.0396,0.006139,0.006139,0.006139
41,29877.2,1.09361,0.70117,1.04449,0.84658,0.61174,0.68832,0.46147,1.07343,0.66272,1.04005,0.00604,0.00604,0.00604
42,30604.6,1.0907,0.69668,1.04478,0.83413,0.62165,0.688,0.45898,1.07204,0.65832,1.0377,0.005941,0.005941,0.005941
43,31331.8,1.08624,0.68829,1.0409,0.8511,0.61201,0.68991,0.46318,1.07164,0.654,1.0351,0.005842,0.005842,0.005842
44,32061.7,1.08529,0.69273,1.04153,0.82566,0.63293,0.69346,0.46404,1.06911,0.65208,1.03511,0.005743,0.005743,0.005743
45,32789.7,1.08192,0.68731,1.04008,0.84074,0.61472,0.73392,0.47092,1.06753,0.65338,1.03654,0.005644,0.005644,0.005644
46,33519.4,1.08091,0.6849,1.03863,0.84818,0.61282,0.73759,0.48182,1.06861,0.64902,1.03634,0.005545,0.005545,0.005545
47,34246.4,1.08178,0.68737,1.03969,0.83119,0.6185,0.83147,0.5126,1.0682,0.64868,1.03541,0.005446,0.005446,0.005446
48,34973.9,1.07576,0.67934,1.03268,0.84722,0.60737,0.83333,0.50552,1.0648,0.64567,1.03106,0.005347,0.005347,0.005347
49,35702.4,1.07501,0.67701,1.03487,0.84345,0.60999,0.83364,0.50278,1.06675,0.64517,1.03368,0.005248,0.005248,0.005248
50,36432.7,1.07511,0.67697,1.0351,0.82739,0.62607,0.83457,0.49614,1.06512,0.64489,1.03088,0.005149,0.005149,0.005149
51,37160.8,1.07146,0.67549,1.03384,0.84228,0.62905,0.77206,0.50001,1.06413,0.63982,1.03018,0.00505,0.00505,0.00505
52,37889.5,1.06952,0.67188,1.03165,0.84184,0.63158,0.84229,0.54164,1.06115,0.63695,1.03028,0.004951,0.004951,0.004951
53,38616.8,1.06988,0.66687,1.02984,0.84521,0.6252,0.84113,0.52107,1.06152,0.63754,1.03035,0.004852,0.004852,0.004852
54,39344.7,1.06418,0.6641,1.02907,0.8549,0.61987,0.84017,0.52026,1.06129,0.63732,1.02956,0.004753,0.004753,0.004753
55,40073.4,1.06554,0.66488,1.02771,0.82996,0.64111,0.77365,0.51133,1.06032,0.6349,1.02851,0.004654,0.004654,0.004654
56,40801.5,1.06072,0.66209,1.02936,0.8465,0.63392,0.76913,0.50866,1.05887,0.63496,1.02919,0.004555,0.004555,0.004555
57,41530,1.06275,0.66261,1.02828,0.84323,0.62371,0.77114,0.49397,1.06055,0.63345,1.03,0.004456,0.004456,0.004456
58,42259.4,1.05802,0.65428,1.02405,0.83215,0.63681,0.84485,0.53326,1.05954,0.63127,1.02886,0.004357,0.004357,0.004357
59,42989.2,1.05989,0.65771,1.02732,0.84837,0.61815,0.7736,0.49588,1.06055,0.63079,1.02985,0.004258,0.004258,0.004258
60,43717.5,1.05543,0.65061,1.02476,0.84669,0.63009,0.84463,0.55143,1.05855,0.62966,1.02948,0.004159,0.004159,0.004159
61,44444.8,1.05111,0.64815,1.02081,0.84172,0.63871,0.84706,0.56072,1.0562,0.62721,1.02612,0.00406,0.00406,0.00406
62,45175,1.05384,0.64959,1.02122,0.83603,0.63833,0.84506,0.57561,1.05571,0.62486,1.02633,0.003961,0.003961,0.003961
63,45903.3,1.04956,0.64699,1.02149,0.84789,0.6331,0.84812,0.52932,1.05451,0.6242,1.02649,0.003862,0.003862,0.003862
64,46631.8,1.04625,0.64292,1.02159,0.84474,0.63081,0.84965,0.53921,1.05686,0.62337,1.02599,0.003763,0.003763,0.003763
65,47360.2,1.04443,0.63855,1.01693,0.85292,0.63321,0.85124,0.52723,1.05558,0.62193,1.02515,0.003664,0.003664,0.003664
66,48088.6,1.04015,0.63522,1.01407,0.85028,0.62996,0.85113,0.51499,1.05621,0.62112,1.02493,0.003565,0.003565,0.003565
67,48815.8,1.04331,0.63754,1.01528,0.84435,0.63006,0.84995,0.53069,1.05637,0.62095,1.02517,0.003466,0.003466,0.003466
68,49542.9,1.03771,0.63328,1.01445,0.84856,0.62985,0.77791,0.51704,1.05556,0.6209,1.02502,0.003367,0.003367,0.003367
69,50271.8,1.03957,0.63361,1.01438,0.83805,0.63839,0.77568,0.51176,1.0537,0.61997,1.02394,0.003268,0.003268,0.003268
70,50999.6,1.03483,0.62882,1.01248,0.85955,0.63162,0.85036,0.53838,1.0529,0.61748,1.02412,0.003169,0.003169,0.003169
71,51729.1,1.03597,0.63024,1.0133,0.85465,0.64494,0.75589,0.49977,1.05388,0.61699,1.02451,0.00307,0.00307,0.00307
72,52456.6,1.03302,0.62626,1.0108,0.85666,0.64234,0.77905,0.50012,1.05351,0.61792,1.0242,0.002971,0.002971,0.002971
73,53185.2,1.03101,0.62309,1.00982,0.84872,0.64024,0.77793,0.50053,1.0535,0.61718,1.02423,0.002872,0.002872,0.002872
74,53917,1.0303,0.62258,1.01055,0.84241,0.64714,0.7784,0.52249,1.05515,0.61671,1.02538,0.002773,0.002773,0.002773
75,54647.6,1.02555,0.62033,1.00913,0.84421,0.64793,0.74276,0.49268,1.0539,0.61495,1.0257,0.002674,0.002674,0.002674
76,55385.8,1.02741,0.61644,1.00657,0.84155,0.64136,0.75309,0.49543,1.05433,0.61481,1.02503,0.002575,0.002575,0.002575
77,56117.5,1.02526,0.61836,1.00723,0.84239,0.64613,0.77937,0.50012,1.05274,0.61426,1.02397,0.002476,0.002476,0.002476
78,56847.6,1.02107,0.61233,1.00432,0.84671,0.64373,0.85104,0.55306,1.05309,0.61436,1.02478,0.002377,0.002377,0.002377
79,57577.8,1.02071,0.61098,1.00348,0.83903,0.64771,0.85266,0.52555,1.05249,0.61398,1.02427,0.002278,0.002278,0.002278
80,58306,1.01482,0.60926,1.00214,0.84819,0.64543,0.85196,0.52036,1.05253,0.61293,1.0241,0.002179,0.002179,0.002179
81,59037,1.01597,0.60759,1.00192,0.84639,0.64928,0.85244,0.53993,1.05325,0.61168,1.0243,0.00208,0.00208,0.00208
82,59766.1,1.01228,0.60233,0.99976,0.83864,0.65089,0.85246,0.5216,1.05308,0.61118,1.02389,0.001981,0.001981,0.001981
83,60494.8,1.01228,0.60422,1.00102,0.84278,0.6479,0.75736,0.50114,1.05339,0.61199,1.02397,0.001882,0.001882,0.001882
84,61231.7,1.00946,0.59994,1.00112,0.8514,0.64325,0.78229,0.50916,1.05386,0.61086,1.0243,0.001783,0.001783,0.001783
85,61961.6,1.00574,0.59771,0.99869,0.84624,0.64681,0.74706,0.49839,1.05359,0.61122,1.02419,0.001684,0.001684,0.001684
86,62690.5,1.00897,0.59857,0.99865,0.84335,0.6457,0.75937,0.50234,1.05326,0.61136,1.02421,0.001585,0.001585,0.001585
87,63419.4,1.00223,0.59047,0.99708,0.84657,0.64672,0.74768,0.49893,1.05343,0.61065,1.02435,0.001486,0.001486,0.001486
88,64148.4,1.00083,0.5927,0.99803,0.84204,0.65367,0.74755,0.50621,1.05333,0.61007,1.0244,0.001387,0.001387,0.001387
89,64933.5,0.99722,0.58909,0.99572,0.8474,0.64862,0.74748,0.50598,1.05346,0.60974,1.02447,0.001288,0.001288,0.001288
