epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1277.22,1.46071,2.51404,1.2655,0.53339,0.33756,0.33543,0.20763,1.27389,1.55126,1.16174,0.00332781,0.00332781,0.00332781
2,2649.81,1.34055,1.62518,1.19977,0.56599,0.3342,0.36809,0.22883,1.28952,1.33921,1.15631,0.0065952,0.0065952,0.0065952
3,3963.56,1.36872,1.39606,1.21595,0.49206,0.31653,0.34448,0.20216,1.34447,1.27927,1.21596,0.00979659,0.00979659,0.00979659
4,5281.16,1.37206,1.26051,1.22046,0.47001,0.30026,0.32086,0.19982,1.36163,1.46512,1.224,0.009703,0.009703,0.009703
5,6601.01,1.33518,1.16424,1.20339,0.47184,0.38567,0.39849,0.24368,1.26472,1.11159,1.17337,0.009604,0.009604,0.009604
6,7936.54,1.30817,1.11441,1.1927,0.50942,0.4062,0.42816,0.26576,1.22565,1.04428,1.14952,0.009505,0.009505,0.009505
7,9268.61,1.28771,1.07194,1.17729,0.58849,0.40449,0.42648,0.2655,1.2446,1.08512,1.15432,0.009406,0.009406,0.009406
8,10563.4,1.2745,1.05166,1.17221,0.53608,0.41963,0.45613,0.28375,1.2029,1.01275,1.13859,0.009307,0.009307,0.009307
9,11393.5,1.26509,1.02884,1.16788,0.67338,0.38927,0.46387,0.29726,1.20083,1.02161,1.12831,0.009208,0.009208,0.009208
10,12231.9,1.24824,1.0058,1.15627,0.58246,0.4112,0.46876,0.30507,1.17967,0.97769,1.12881,0.009109,0.009109,0.009109
11,13072.8,1.24249,0.99523,1.15443,0.57174,0.41292,0.43299,0.27131,1.18774,1.03611,1.12857,0.00901,0.00901,0.00901
12,14013.2,1.23053,0.97828,1.14458,0.57532,0.44315,0.48278,0.31037,1.16622,0.96935,1.11169,0.008911,0.008911,0.008911
13,15347.9,1.22088,0.96001,1.14035,0.58073,0.43669,0.48176,0.30921,1.15154,0.9468,1.10616,0.008812,0.008812,0.008812
14,16700.1,1.20923,0.94894,1.13413,0.57457,0.47817,0.50953,0.32668,1.15943,0.92146,1.10809,0.008713,0.008713,0.008713
15,17591.2,1.20672,0.94231,1.13299,0.60391,0.41598,0.49067,0.315,1.15557,0.91583,1.0986,0.008614,0.008614,0.008614
16,18429.2,1.20217,0.93094,1.12744,0.58928,0.47648,0.50127,0.32039,1.15724,0.92807,1.1059,0.008515,0.008515,0.008515
17,19261.9,1.19238,0.91604,1.12096,0.61513,0.46765,0.49611,0.32093,1.15426,0.91297,1.10165,0.008416,0.008416,0.008416
18,20097.4,1.17939,0.90526,1.11612,0.62371,0.45582,0.50036,0.32371,1.14605,0.89903,1.10003,0.008317,0.008317,0.008317
19,20930.6,1.18296,0.90363,1.11848,0.6474,0.46951,0.51916,0.33287,1.14329,0.90267,1.10166,0.008218,0.008218,0.008218
20,21765.4,1.17633,0.89282,1.1128,0.58108,0.4556,0.49373,0.32005,1.13535,0.89272,1.09454,0.008119,0.008119,0.008119
21,22599.3,1.17414,0.89088,1.11256,0.63684,0.43659,0.50954,0.32919,1.13978,0.893,1.09224,0.00802,0.00802,0.00802
22,23431.8,1.16743,0.88621,1.10888,0.62557,0.47635,0.51293,0.33696,1.12968,0.88115,1.09263,0.007921,0.007921,0.007921
23,24279.2,1.16265,0.87333,1.10401,0.60044,0.49228,0.51979,0.33497,1.12576,0.86598,1.08508,0.007822,0.007822,0.007822
24,25128.5,1.15759,0.86757,1.10024,0.6615,0.45521,0.52904,0.34423,1.12068,0.87505,1.08606,0.007723,0.007723,0.007723
25,25962.4,1.14985,0.85829,1.09958,0.60741,0.51002,0.53379,0.34747,1.12754,0.86027,1.08702,0.007624,0.007624,0.007624
26,26795.4,1.14668,0.85607,1.09635,0.61632,0.48846,0.53707,0.34318,1.11942,0.85203,1.08225,0.007525,0.007525,0.007525
27,27627.5,1.14996,0.8553,1.09759,0.65982,0.47191,0.53356,0.3461,1.11928,0.8567,1.08113,0.007426,0.007426,0.007426
28,28462.2,1.14105,0.8471,1.09145,0.57397,0.50597,0.53306,0.34894,1.1166,0.85628,1.07955,0.007327,0.007327,0.007327
29,29308.8,1.13936,0.841,1.09149,0.69505,0.46109,0.55039,0.36624,1.11068,0.85161,1.07595,0.007228,0.007228,0.007228
30,30142,1.13949,0.83959,1.08998,0.68383,0.46867,0.54177,0.35597,1.10642,0.83562,1.07987,0.007129,0.007129,0.007129
31,31276.8,1.13017,0.82989,1.08639,0.59976,0.48338,0.53288,0.35141,1.11811,0.85203,1.07863,0.00703,0.00703,0.00703
32,32562.8,1.13253,0.83114,1.08497,0.66448,0.47587,0.53529,0.35313,1.10756,0.83987,1.07374,0.006931,0.006931,0.006931
33,33853.7,1.12178,0.8233,1.08375,0.63983,0.50933,0.54341,0.359,1.09711,0.83432,1.07208,0.006832,0.006832,0.006832
34,35150.3,1.12062,0.81866,1.08239,0.6094,0.50229,0.54327,0.35896,1.10611,0.83287,1.07188,0.006733,0.006733,0.006733
35,36449,1.11999,0.81906,1.07992,0.6222,0.49033,0.54797,0.36387,1.10165,0.82242,1.07236,0.006634,0.006634,0.006634
36,37732.9,1.11924,0.81444,1.07827,0.59992,0.50067,0.5475,0.3628,1.09951,0.8278,1.07195,0.006535,0.006535,0.006535
37,39036.6,1.11461,0.81096,1.077,0.62191,0.51177,0.55078,0.36115,1.09829,0.82713,1.06893,0.006436,0.006436,0.006436
38,40327.6,1.10415,0.80146,1.07417,0.62081,0.52765,0.55066,0.35752,1.09612,0.8268,1.07183,0.006337,0.006337,0.006337
39,41632.9,1.10869,0.802,1.07456,0.62772,0.4995,0.54497,0.35752,1.09114,0.82492,1.06555,0.006238,0.006238,0.006238
40,42937,1.10608,0.7959,1.07201,0.65083,0.49261,0.54964,0.35958,1.09375,0.81512,1.06684,0.006139,0.006139,0.006139
41,44238.4,1.10396,0.79358,1.07105,0.63068,0.49596,0.54464,0.36143,1.09393,0.82004,1.06635,0.00604,0.00604,0.00604
42,45548.3,1.09931,0.78762,1.06897,0.63973,0.49837,0.55145,0.36273,1.09115,0.81694,1.06575,0.005941,0.005941,0.005941
43,46848.9,1.09229,0.78208,1.0633,0.69516,0.47041,0.5451,0.36309,1.09092,0.81653,1.06639,0.005842,0.005842,0.005842
44,48141.4,1.09802,0.78636,1.0645,0.64423,0.496,0.5557,0.36905,1.08878,0.81348,1.06351,0.005743,0.005743,0.005743
45,49438.4,1.09842,0.78598,1.06805,0.648,0.48231,0.54586,0.36291,1.09034,0.80959,1.06359,0.005644,0.005644,0.005644
46,50716.8,1.0937,0.78152,1.06566,0.66053,0.4945,0.55545,0.36338,1.08846,0.80929,1.06282,0.005545,0.005545,0.005545
47,52013.3,1.08885,0.77316,1.06265,0.6238,0.5107,0.54772,0.36461,1.09054,0.80999,1.06362,0.005446,0.005446,0.005446
48,53316.6,1.08808,0.7718,1.06038,0.65968,0.46412,0.54097,0.35804,1.0886,0.80766,1.06042,0.005347,0.005347,0.005347
49,54610.2,1.08909,0.7696,1.05976,0.61437,0.50732,0.54807,0.36175,1.08791,0.80712,1.06206,0.005248,0.005248,0.005248
50,55914.9,1.08504,0.76559,1.05713,0.67536,0.48231,0.55903,0.3695,1.08673,0.80159,1.0608,0.005149,0.005149,0.005149
51,57225.3,1.08306,0.76344,1.05692,0.674,0.49676,0.56092,0.37594,1.08533,0.80109,1.06093,0.00505,0.00505,0.00505
52,58535.6,1.08149,0.76129,1.05634,0.65165,0.48937,0.54579,0.36165,1.08388,0.79949,1.0601,0.004951,0.004951,0.004951
53,59834.1,1.0776,0.75957,1.05592,0.63617,0.51874,0.55269,0.36561,1.08325,0.79931,1.05951,0.004852,0.004852,0.004852
54,61154.6,1.07343,0.75302,1.05106,0.66149,0.50446,0.55569,0.36985,1.08323,0.79903,1.06015,0.004753,0.004753,0.004753
55,62503.8,1.07444,0.7518,1.0496,0.65596,0.48054,0.55438,0.36695,1.08315,0.79842,1.05766,0.004654,0.004654,0.004654
56,63818.3,1.0734,0.75043,1.051,0.63802,0.50695,0.55935,0.37357,1.0816,0.79876,1.05785,0.004555,0.004555,0.004555
57,65271.8,1.06759,0.7454,1.04924,0.67534,0.48617,0.55835,0.36894,1.08194,0.7961,1.05624,0.004456,0.004456,0.004456
58,66783.5,1.06592,0.74545,1.04916,0.66262,0.50791,0.55802,0.37254,1.08507,0.8,1.05672,0.004357,0.004357,0.004357
59,1188.01,1.44787,2.095,1.265,0,0,0,0,3.14261,4.90948,2.4948,0.004258,0.004258,0.004258
60,2190.88,1.3249,1.37047,1.19518,0.19923,0.1699,0.19422,0.13242,1.61035,3.52848,1.54203,0.004159,0.004159,0.004159
61,3229.35,1.29687,1.21582,1.17548,0.6324,0.37548,0.45415,0.29623,1.16445,1.21421,1.11222,0.00406,0.00406,0.00406
62,4409.76,1.27086,1.12877,1.15817,0.5786,0.43861,0.49107,0.32079,1.1348,0.97376,1.0845,0.003961,0.003961,0.003961
63,5901.16,1.24898,1.07287,1.14493,0.56083,0.47636,0.5122,0.34012,1.12285,0.93089,1.07655,0.003862,0.003862,0.003862
64,6949.39,1.23375,1.0412,1.14062,0.56538,0.49597,0.51954,0.34523,1.11779,0.91108,1.07519,0.003763,0.003763,0.003763
65,7827.46,1.21839,1.00852,1.12754,0.59682,0.49484,0.51871,0.34388,1.11416,0.89919,1.07184,0.003664,0.003664,0.003664
66,8663.18,1.21136,0.99545,1.12686,0.57582,0.48642,0.52423,0.35143,1.10673,0.88637,1.06968,0.003565,0.003565,0.003565
67,9499.08,1.20599,0.97832,1.12288,0.59346,0.49295,0.53168,0.35336,1.10467,0.87809,1.06734,0.003466,0.003466,0.003466
68,10335.8,1.19324,0.95675,1.1143,0.59398,0.5107,0.53761,0.35636,1.10146,0.87059,1.06497,0.003367,0.003367,0.003367
69,11170.1,1.19057,0.95004,1.11522,0.6036,0.49658,0.54069,0.36264,1.09714,0.86566,1.06315,0.003268,0.003268,0.003268
70,12003.1,1.18188,0.93533,1.10712,0.67696,0.48752,0.55172,0.36989,1.0969,0.85826,1.06278,0.003169,0.003169,0.003169
71,12837.1,1.17488,0.92121,1.10345,0.63773,0.49997,0.55326,0.36988,1.09561,0.85372,1.06161,0.00307,0.00307,0.00307
