epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2157.52,3.40738,4.71501,3.65261,0.70739,0.02542,0.0195,0.008,2.84429,3.48746,3.01829,0.00332781,0.00332781,0.00332781
2,4079.6,2.39598,2.84093,2.41681,0.68076,0.12027,0.11993,0.05495,2.11146,2.06066,2.11458,0.0065952,0.0065952,0.0065952
3,5959.85,2.01787,2.11832,2.00195,0.59199,0.18332,0.18551,0.09432,1.7963,1.77047,1.81978,0.00979659,0.00979659,0.00979659
4,7809.99,1.78514,1.70525,1.77477,0.58441,0.25895,0.26771,0.14551,1.59744,1.42231,1.62869,0.009703,0.009703,0.009703
5,9693.77,1.63172,1.46088,1.63208,0.40038,0.3454,0.34419,0.19446,1.46589,1.22107,1.49753,0.009604,0.009604,0.009604
6,11542.3,1.55341,1.35242,1.56277,0.66146,0.29147,0.35804,0.2048,1.39583,1.18307,1.44273,0.009505,0.009505,0.009505
7,13391,1.49232,1.26251,1.50422,0.41961,0.36659,0.37256,0.21385,1.3617,1.13119,1.4109,0.009406,0.009406,0.009406
8,15003.5,1.44872,1.206,1.46907,0.50316,0.3821,0.4215,0.24658,1.31546,1.06457,1.37137,0.009307,0.009307,0.009307
9,16619.5,1.41368,1.16199,1.44536,0.53008,0.35448,0.40894,0.23516,1.3218,1.09065,1.37148,0.009208,0.009208,0.009208
10,18245,1.38717,1.12824,1.41684,0.46668,0.41214,0.42625,0.2458,1.29181,1.01961,1.34832,0.009109,0.009109,0.009109
11,19720.3,1.35841,1.09783,1.3925,0.537,0.42968,0.46964,0.27473,1.24439,0.98159,1.30696,0.00901,0.00901,0.00901
12,21291.6,1.34609,1.07799,1.37522,0.54431,0.4221,0.46823,0.28499,1.22922,0.97339,1.29563,0.008911,0.008911,0.008911
13,22906,1.32878,1.05548,1.36139,0.51975,0.44005,0.47161,0.28683,1.22905,0.95285,1.28316,0.008812,0.008812,0.008812
14,24765.5,1.31026,1.03585,1.34666,0.55402,0.4263,0.47214,0.28696,1.19963,0.92675,1.26667,0.008713,0.008713,0.008713
15,26602.1,1.3084,1.03167,1.33737,0.57707,0.46412,0.50092,0.30857,1.19461,0.92508,1.25252,0.008614,0.008614,0.008614
16,28423.8,1.29295,1.00851,1.32197,0.538,0.45253,0.4814,0.29521,1.20696,0.93318,1.2583,0.008515,0.008515,0.008515
17,30824,1.28146,0.99527,1.30894,0.59426,0.43712,0.51049,0.31059,1.17777,0.89687,1.24419,0.008416,0.008416,0.008416
