epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1508.39,3.43721,4.87053,3.73635,0.74568,0.0216,0.02684,0.01017,2.81953,3.38665,2.94708,0.00332781,0.00332781,0.00332781
2,2987.8,2.46235,2.90783,2.44785,0.65669,0.08814,0.0889,0.04115,2.22593,2.28812,2.17323,0.0065952,0.0065952,0.0065952
3,4637.3,2.08782,2.22725,2.03558,0.60663,0.12198,0.13714,0.07033,1.89215,1.92462,1.85798,0.00979659,0.00979659,0.00979659
4,6318.62,1.85738,1.8173,1.80578,0.46794,0.21957,0.22195,0.11764,1.653,1.54636,1.65161,0.009703,0.009703,0.009703
5,7785.85,1.71357,1.58399,1.67763,0.37091,0.24036,0.24509,0.13528,1.55777,1.4504,1.57039,0.009604,0.009604,0.009604
6,9233.79,1.62439,1.46114,1.60481,0.39737,0.28907,0.29125,0.16457,1.51365,1.36766,1.52253,0.009505,0.009505,0.009505
7,10694.2,1.56362,1.3676,1.54311,0.41863,0.31817,0.33393,0.194,1.44489,1.24574,1.45799,0.009406,0.009406,0.009406
8,12106.1,1.52506,1.32097,1.50664,0.38469,0.32397,0.32846,0.19725,1.39495,1.20177,1.4165,0.009307,0.009307,0.009307
9,13516.2,1.49499,1.28038,1.48201,0.46793,0.33084,0.34694,0.20602,1.39185,1.20244,1.40602,0.009208,0.009208,0.009208
10,14946.8,1.46075,1.233,1.44725,0.48245,0.3579,0.37136,0.22216,1.3479,1.13447,1.36698,0.009109,0.009109,0.009109
11,16356,1.44402,1.21451,1.43194,0.45327,0.31865,0.33877,0.20157,1.39187,1.29171,1.39927,0.00901,0.00901,0.00901
12,17836.2,1.42152,1.18449,1.40652,0.44438,0.3289,0.34977,0.21204,1.3327,1.14412,1.35551,0.008911,0.008911,0.008911
13,19274.2,1.40347,1.15753,1.38918,0.48685,0.38789,0.39648,0.23214,1.31212,1.07875,1.33078,0.008812,0.008812,0.008812
14,20687.2,1.3837,1.13907,1.37378,0.58489,0.36507,0.41307,0.24967,1.29729,1.06641,1.31684,0.008713,0.008713,0.008713
15,22098.5,1.37489,1.12531,1.36695,0.57842,0.35075,0.41887,0.25281,1.28823,1.05465,1.30843,0.008614,0.008614,0.008614
16,23508.7,1.36218,1.10488,1.35196,0.49164,0.39354,0.41285,0.24904,1.27831,1.05069,1.30184,0.008515,0.008515,0.008515
17,24934.8,1.34975,1.08544,1.33639,0.58183,0.37515,0.43421,0.26857,1.27544,1.03878,1.28968,0.008416,0.008416,0.008416
18,26346,1.33153,1.0699,1.32538,0.54073,0.41926,0.45169,0.27985,1.25992,1.00662,1.28239,0.008317,0.008317,0.008317
19,27758.6,1.33027,1.0662,1.32293,0.59994,0.41282,0.45698,0.28268,1.25705,1.00985,1.27819,0.008218,0.008218,0.008218
20,29171.1,1.31962,1.0512,1.30957,0.55298,0.41064,0.44423,0.27824,1.2525,1.01234,1.27235,0.008119,0.008119,0.008119
21,30587.5,1.31443,1.04766,1.30903,0.51263,0.4188,0.44788,0.28186,1.23357,0.993,1.25919,0.00802,0.00802,0.00802
22,32001.4,1.30777,1.03768,1.30143,0.61079,0.43245,0.47155,0.298,1.24036,0.98159,1.26155,0.007921,0.007921,0.007921
23,33435.1,1.2966,1.02379,1.28995,0.57525,0.44204,0.46937,0.29017,1.22571,0.97174,1.24962,0.007822,0.007822,0.007822
24,34900.5,1.28967,1.01337,1.2799,0.54787,0.44539,0.47173,0.2953,1.22229,0.96442,1.24672,0.007723,0.007723,0.007723
25,36287,1.27776,1.00022,1.27689,0.5845,0.44883,0.47413,0.29844,1.21618,0.95572,1.23666,0.007624,0.007624,0.007624
26,37671.2,1.27468,0.99581,1.2711,0.5911,0.4409,0.47705,0.29953,1.21286,0.95096,1.23755,0.007525,0.007525,0.007525
27,39052.8,1.27541,0.99003,1.26952,0.57203,0.44063,0.47396,0.29641,1.2151,0.95347,1.23605,0.007426,0.007426,0.007426
28,40464.3,1.26625,0.98369,1.25934,0.60448,0.45247,0.49425,0.31297,1.20236,0.94357,1.22673,0.007327,0.007327,0.007327
29,42389,1.25944,0.9747,1.25574,0.57047,0.45958,0.49878,0.31457,1.19981,0.92893,1.22,0.007228,0.007228,0.007228
30,44326.9,1.25978,0.97205,1.25254,0.57006,0.4752,0.48991,0.31139,1.20251,0.92701,1.22058,0.007129,0.007129,0.007129
31,46283,1.24599,0.96077,1.24604,0.58457,0.45199,0.48814,0.31408,1.18899,0.92273,1.21322,0.00703,0.00703,0.00703
32,48218.8,1.25119,0.96013,1.24576,0.65678,0.44252,0.49698,0.31917,1.18794,0.92105,1.21232,0.006931,0.006931,0.006931
33,50172.8,1.23763,0.95048,1.24022,0.64343,0.43725,0.49298,0.31909,1.18881,0.92515,1.21355,0.006832,0.006832,0.006832
34,52140.4,1.23366,0.94524,1.23496,0.58101,0.44434,0.49794,0.32043,1.18448,0.9099,1.20682,0.006733,0.006733,0.006733
35,54104,1.23409,0.94525,1.23404,0.60433,0.47613,0.51055,0.33163,1.18057,0.90689,1.20544,0.006634,0.006634,0.006634
36,56067.8,1.23057,0.9353,1.22724,0.58017,0.45936,0.51234,0.33849,1.17929,0.90708,1.20235,0.006535,0.006535,0.006535
37,58034.6,1.22529,0.93281,1.2253,0.63007,0.45603,0.50833,0.33027,1.18,0.89809,1.20177,0.006436,0.006436,0.006436
38,59988.1,1.21581,0.92128,1.22033,0.57599,0.47808,0.5162,0.33288,1.17335,0.89362,1.19475,0.006337,0.006337,0.006337
39,61958.3,1.21848,0.92323,1.21904,0.62483,0.47314,0.52116,0.34054,1.17052,0.89609,1.19439,0.006238,0.006238,0.006238
40,63941.6,1.21433,0.91547,1.21449,0.60054,0.47524,0.51262,0.33464,1.16991,0.89491,1.19288,0.006139,0.006139,0.006139
41,65906.4,1.21226,0.9141,1.2118,0.60762,0.47496,0.51389,0.33544,1.16782,0.89313,1.18974,0.00604,0.00604,0.00604
42,67873.7,1.20365,0.90155,1.2096,0.59511,0.47723,0.51821,0.33946,1.16847,0.88639,1.18919,0.005941,0.005941,0.005941
43,69834.7,1.19771,0.89775,1.20209,0.62613,0.46882,0.51358,0.33376,1.16655,0.88325,1.18708,0.005842,0.005842,0.005842
44,71822.5,1.20136,0.89996,1.2008,0.65238,0.44863,0.51624,0.33582,1.162,0.88331,1.18447,0.005743,0.005743,0.005743
45,73804.4,1.20038,0.89941,1.20408,0.60787,0.48599,0.51363,0.33445,1.16205,0.87845,1.18312,0.005644,0.005644,0.005644
46,75765.1,1.19563,0.89335,1.1996,0.61162,0.49478,0.51588,0.33709,1.16202,0.88105,1.18477,0.005545,0.005545,0.005545
47,78833.4,1.18992,0.88537,1.19603,0.63766,0.47982,0.5151,0.33535,1.15889,0.87823,1.18112,0.005446,0.005446,0.005446
48,80802.4,1.18882,0.88247,1.19436,0.62566,0.48695,0.5215,0.34219,1.15833,0.87573,1.17995,0.005347,0.005347,0.005347
49,82754.7,1.19051,0.88209,1.19163,0.61816,0.49035,0.52327,0.34146,1.15444,0.8693,1.17678,0.005248,0.005248,0.005248
