epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1355.68,3.35724,4.43131,3.56325,0.78834,0.05929,0.04194,0.01397,2.74385,3.13579,2.91778,0.00332684,0.00332684,0.00332684
2,2541.29,2.38338,2.71426,2.39116,0.64224,0.14872,0.13865,0.05998,2.08557,2.15367,2.18341,0.00659423,0.00659423,0.00659423
3,3711.85,1.9995,2.06069,1.99296,0.53565,0.1881,0.18816,0.08768,1.92291,2.02614,1.96962,0.00979563,0.00979563,0.00979563
4,4814.37,1.78812,1.64632,1.77257,0.5748,0.19706,0.22357,0.10906,1.82742,1.89216,1.87315,0.009703,0.009703,0.009703
5,5917.56,1.64889,1.41818,1.63677,0.6827,0.28372,0.33026,0.17881,1.53441,1.29279,1.59349,0.009604,0.009604,0.009604
6,7020.16,1.56423,1.28595,1.54724,0.51456,0.28352,0.3006,0.15979,1.60924,1.44562,1.63544,0.009505,0.009505,0.009505
7,8121.08,1.50266,1.20373,1.49462,0.45855,0.33612,0.37713,0.20515,1.48047,1.20233,1.52017,0.009406,0.009406,0.009406
8,9223.91,1.46308,1.15553,1.46674,0.46989,0.37525,0.40894,0.22707,1.4309,1.13561,1.47538,0.009307,0.009307,0.009307
9,10327,1.42907,1.10258,1.42829,0.52393,0.40883,0.45524,0.25376,1.35573,1.01103,1.41008,0.009208,0.009208,0.009208
10,11429.2,1.40475,1.07663,1.40691,0.42437,0.32237,0.34439,0.18169,1.51769,1.41113,1.54105,0.009109,0.009109,0.009109
11,12531.7,1.38574,1.04664,1.38345,0.52574,0.41214,0.45459,0.26204,1.34036,1.00915,1.38285,0.00901,0.00901,0.00901
12,13644.9,1.36943,1.02672,1.36714,0.53262,0.44784,0.48317,0.27991,1.3225,0.99093,1.37337,0.008911,0.008911,0.008911
13,14813.6,1.35378,1.00989,1.35257,0.50291,0.40957,0.44496,0.25558,1.35766,1.05481,1.39243,0.008812,0.008812,0.008812
14,15948.9,1.33976,0.99207,1.3442,0.54768,0.447,0.49312,0.28928,1.28932,0.94818,1.34647,0.008713,0.008713,0.008713
15,17127.2,1.32378,0.97328,1.32626,0.48904,0.397,0.43046,0.24781,1.36679,1.11789,1.38805,0.008614,0.008614,0.008614
16,18398.6,1.31448,0.95889,1.31963,0.71113,0.46656,0.51609,0.30682,1.27335,0.92749,1.32704,0.008515,0.008515,0.008515
17,19579.6,1.31026,0.95167,1.31199,0.66697,0.45335,0.49684,0.29124,1.30734,0.97171,1.34442,0.008416,0.008416,0.008416
