epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,744.58,3.26683,4.77623,3.66394,0.79379,0.02257,0.03102,0.01133,2.7374,3.60868,3.24588,0.00332661,0.00332661,0.00332661
2,1742.48,2.16309,2.79507,2.44434,0.85401,0.14501,0.17969,0.09797,1.74943,2.05807,2.14345,0.00659401,0.00659401,0.00659401
3,2632.77,1.73012,2.01793,1.96806,0.80175,0.22628,0.2608,0.1475,1.45569,1.6798,1.78855,0.00979541,0.00979541,0.00979541
4,3509.36,1.4997,1.60643,1.72335,0.44737,0.22346,0.23879,0.13472,1.5552,1.74126,1.8266,0.009703,0.009703,0.009703
5,4498.05,1.35483,1.37683,1.58581,0.52068,0.31661,0.3131,0.18918,1.3812,1.53874,1.67188,0.009604,0.009604,0.009604
6,5251.84,1.26826,1.25093,1.49917,0.39941,0.39173,0.39788,0.24893,1.23363,1.22145,1.52697,0.009505,0.009505,0.009505
7,6005.74,1.20431,1.17464,1.44249,0.52918,0.4189,0.44906,0.29345,1.14371,1.1647,1.45271,0.009406,0.009406,0.009406
8,6633.51,1.16247,1.1124,1.40598,0.53735,0.42891,0.43963,0.28052,1.17485,1.24825,1.47869,0.009307,0.009307,0.009307
9,7255.64,1.1306,1.07814,1.37792,0.51297,0.49611,0.49738,0.34134,1.02246,0.9983,1.34385,0.009208,0.009208,0.009208
10,7877.11,1.09989,1.03895,1.35391,0.53298,0.48715,0.50068,0.34024,1.04375,1.01497,1.35118,0.009109,0.009109,0.009109
11,8498.19,1.07817,1.0193,1.33652,0.5343,0.46023,0.49171,0.338,1.00823,0.98976,1.32289,0.00901,0.00901,0.00901
12,9185.95,1.06069,0.99939,1.31929,0.56987,0.48008,0.51222,0.35412,0.99236,0.94732,1.30741,0.008911,0.008911,0.008911
13,9836.46,1.04541,0.97258,1.30372,0.54097,0.51348,0.52382,0.36582,0.97674,0.94981,1.299,0.008812,0.008812,0.008812
14,10705.6,1.02171,0.94646,1.28367,0.5261,0.56065,0.55778,0.39531,0.9175,0.86659,1.24524,0.008713,0.008713,0.008713
15,11705.2,1.01687,0.94719,1.28208,0.59982,0.5333,0.55339,0.39757,0.90559,0.85921,1.23693,0.008614,0.008614,0.008614
16,12685.7,1.00472,0.92561,1.26905,0.59982,0.53022,0.57529,0.40871,0.90277,0.84844,1.22937,0.008515,0.008515,0.008515
17,13668.4,0.99513,0.92311,1.26375,0.60256,0.53561,0.58554,0.4267,0.87529,0.81955,1.21144,0.008416,0.008416,0.008416
18,14632.8,0.98218,0.90188,1.25172,0.56507,0.58102,0.5979,0.43228,0.88105,0.81645,1.20971,0.008317,0.008317,0.008317
19,15484.4,0.97663,0.89769,1.24499,0.58038,0.58362,0.60171,0.43684,0.87407,0.80601,1.208,0.008218,0.008218,0.008218
20,16290.3,0.96878,0.89253,1.24301,0.58766,0.58911,0.59669,0.43669,0.8802,0.82504,1.203,0.008119,0.008119,0.008119
21,16923.3,0.95909,0.87226,1.2298,0.61116,0.58857,0.61613,0.45378,0.8553,0.78711,1.18658,0.00802,0.00802,0.00802
22,17885,0.95505,0.87113,1.22759,0.57213,0.6079,0.61963,0.45163,0.85137,0.78567,1.18036,0.007921,0.007921,0.007921
