epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1045.82,3.20103,4.61362,3.61214,0.82868,0.01742,0.01184,0.00421,3.10767,3.90008,3.29874,0.00332667,0.00332667,0.00332667
2,2018.19,2.12503,2.76446,2.41056,0.8131,0.11278,0.13227,0.06137,2.07029,2.11541,2.19217,0.00659407,0.00659407,0.00659407
3,2987.58,1.68957,1.98922,1.94112,0.62522,0.11601,0.1221,0.0576,2.10582,2.10904,2.18218,0.00979547,0.00979547,0.00979547
4,3953.1,1.42129,1.54502,1.66764,0.43217,0.20001,0.21045,0.10809,1.72568,1.53958,1.80228,0.009703,0.009703,0.009703
5,4922.11,1.24285,1.27665,1.49918,0.52613,0.22412,0.23749,0.12402,1.74387,1.68914,1.80311,0.009604,0.009604,0.009604
6,5891.2,1.13848,1.13877,1.40751,0.53976,0.23489,0.24702,0.13052,1.70627,1.64703,1.7424,0.009505,0.009505,0.009505
7,6860.49,1.06555,1.05175,1.34534,0.56471,0.27624,0.29725,0.16284,1.55575,1.26562,1.63542,0.009406,0.009406,0.009406
8,7830.65,1.01693,0.98581,1.29898,0.41907,0.31229,0.31323,0.17575,1.4923,1.23377,1.58086,0.009307,0.009307,0.009307
9,8797.93,0.97911,0.94139,1.26811,0.56552,0.29862,0.3092,0.17363,1.51106,1.25031,1.59469,0.009208,0.009208,0.009208
10,9759.53,0.9394,0.8989,1.24197,0.58938,0.29133,0.30402,0.17153,1.52781,1.32654,1.6123,0.009109,0.009109,0.009109
11,10724.1,0.91353,0.87346,1.22146,0.41854,0.28807,0.30175,0.17551,1.5393,1.32701,1.61879,0.00901,0.00901,0.00901
12,11687.3,0.89506,0.84912,1.20478,0.46312,0.31582,0.32455,0.18593,1.49254,1.25438,1.57292,0.008911,0.008911,0.008911
13,12652.9,0.87355,0.82852,1.18848,0.61366,0.33356,0.3383,0.19324,1.4592,1.19322,1.54349,0.008812,0.008812,0.008812
14,13617.3,0.85433,0.79947,1.16725,0.43275,0.33488,0.3382,0.19413,1.43545,1.15646,1.53565,0.008713,0.008713,0.008713
15,14581.9,0.83821,0.78133,1.15561,0.47073,0.31194,0.33009,0.19295,1.45976,1.19565,1.54131,0.008614,0.008614,0.008614
16,15548.3,0.8269,0.77243,1.14769,0.45161,0.3355,0.34791,0.2046,1.44638,1.18133,1.53376,0.008515,0.008515,0.008515
17,16516.6,0.81493,0.75707,1.13961,0.48181,0.31997,0.33906,0.20245,1.43204,1.1925,1.52179,0.008416,0.008416,0.008416
18,17483.4,0.80378,0.74626,1.12731,0.45518,0.33846,0.35315,0.20758,1.413,1.1259,1.51492,0.008317,0.008317,0.008317
19,18448.3,0.79224,0.73401,1.12217,0.62264,0.34162,0.35779,0.21099,1.4226,1.16934,1.51048,0.008218,0.008218,0.008218
20,19419.3,0.78105,0.72049,1.11452,0.50473,0.32605,0.34255,0.20538,1.43124,1.21467,1.5186,0.008119,0.008119,0.008119
21,20392.2,0.77384,0.71348,1.10803,0.62659,0.32337,0.34702,0.20482,1.44477,1.24127,1.53325,0.00802,0.00802,0.00802
22,21361.7,0.7689,0.71624,1.10552,0.50771,0.33519,0.36058,0.2162,1.40801,1.13036,1.51105,0.007921,0.007921,0.007921
23,22331.5,0.75813,0.70224,1.0967,0.48449,0.35219,0.36918,0.2201,1.39571,1.09397,1.49311,0.007822,0.007822,0.007822
24,23296.5,0.75075,0.69009,1.09076,0.51223,0.33428,0.36026,0.21671,1.41302,1.14653,1.51463,0.007723,0.007723,0.007723
25,24263.4,0.74692,0.68107,1.08687,0.61562,0.35067,0.36618,0.21941,1.40495,1.14404,1.50147,0.007624,0.007624,0.007624
26,25241.1,0.73724,0.67354,1.08082,0.4903,0.33943,0.3581,0.21689,1.41222,1.17739,1.51134,0.007525,0.007525,0.007525
27,26214.8,0.73388,0.67433,1.07869,0.48872,0.3458,0.36674,0.22275,1.38623,1.09608,1.49883,0.007426,0.007426,0.007426
28,27186.6,0.72962,0.66494,1.07477,0.50606,0.34269,0.35913,0.21803,1.40503,1.19457,1.50438,0.007327,0.007327,0.007327
29,28164.1,0.72461,0.65705,1.06924,0.49084,0.3483,0.36695,0.22392,1.40469,1.15256,1.50345,0.007228,0.007228,0.007228
30,29138.8,0.71859,0.65375,1.0677,0.48467,0.35017,0.36087,0.2196,1.39835,1.14939,1.50693,0.007129,0.007129,0.007129
31,30113.6,0.70865,0.64402,1.06238,0.50051,0.34262,0.36344,0.22142,1.40752,1.15284,1.51359,0.00703,0.00703,0.00703
32,31080.4,0.70734,0.64251,1.05859,0.50615,0.35376,0.36965,0.22691,1.39732,1.17831,1.50786,0.006931,0.006931,0.006931
33,32050.9,0.70187,0.63856,1.05835,0.5315,0.32804,0.36143,0.22087,1.40637,1.14692,1.52004,0.006832,0.006832,0.006832
34,33023.8,0.70395,0.63684,1.05606,0.51954,0.33811,0.37024,0.22499,1.39135,1.12836,1.49482,0.006733,0.006733,0.006733
35,33997.1,0.69578,0.62897,1.05288,0.50395,0.34534,0.36919,0.22656,1.40846,1.1582,1.52182,0.006634,0.006634,0.006634
36,34962,0.6913,0.62702,1.0501,0.52609,0.33502,0.36965,0.22435,1.39799,1.15991,1.50751,0.006535,0.006535,0.006535
37,35934.2,0.68274,0.61724,1.04228,0.50013,0.35625,0.37414,0.22821,1.38651,1.10983,1.49463,0.006436,0.006436,0.006436
38,36791.5,0.68617,0.61269,1.04224,0.51726,0.35601,0.37664,0.23231,1.38757,1.14307,1.50072,0.006337,0.006337,0.006337
