epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,735.736,3.12542,4.49211,3.56376,0.82272,0.06858,0.06428,0.02446,2.58865,2.81331,2.81723,0.00332667,0.00332667,0.00332667
2,1522.24,2.00338,2.65571,2.30345,0.76568,0.13004,0.13828,0.06811,1.98748,2.09598,2.10507,0.00659407,0.00659407,0.00659407
3,2403.75,1.5987,1.89017,1.84173,0.66224,0.1556,0.17069,0.08409,1.91273,1.83788,1.96146,0.00979547,0.00979547,0.00979547
4,3526.86,1.35505,1.45793,1.6069,0.43762,0.23071,0.21802,0.11614,1.68949,1.57643,1.76312,0.009703,0.009703,0.009703
5,4586.05,1.19603,1.21181,1.46437,0.49252,0.26031,0.26468,0.14131,1.60013,1.29652,1.7027,0.009604,0.009604,0.009604
6,5698.14,1.0996,1.08043,1.38419,0.57512,0.28368,0.29883,0.16444,1.5433,1.23019,1.64653,0.009505,0.009505,0.009505
7,6759.3,1.03197,0.99525,1.32757,0.42644,0.29931,0.31387,0.17461,1.49668,1.20542,1.59776,0.009406,0.009406,0.009406
8,7816.48,0.98824,0.9447,1.28662,0.4909,0.26328,0.28123,0.15918,1.5714,1.57743,1.65875,0.009307,0.009307,0.009307
9,8874.15,0.95229,0.90408,1.25778,0.42907,0.3225,0.33155,0.18927,1.45496,1.18326,1.55219,0.009208,0.009208,0.009208
10,9926.52,0.91566,0.86446,1.23412,0.45624,0.31748,0.33099,0.18742,1.47312,1.18298,1.57121,0.009109,0.009109,0.009109
11,10980.3,0.88951,0.84005,1.21487,0.4317,0.32682,0.32341,0.19061,1.46642,1.22534,1.58616,0.00901,0.00901,0.00901
12,11809.9,0.87334,0.8197,1.20201,0.47577,0.32957,0.3431,0.19568,1.44402,1.17542,1.55951,0.008911,0.008911,0.008911
13,12640,0.85187,0.80031,1.18551,0.63072,0.32451,0.34568,0.20067,1.43599,1.14345,1.55261,0.008812,0.008812,0.008812
14,13707.2,0.83477,0.77216,1.16643,0.44357,0.33663,0.33033,0.1927,1.4372,1.12971,1.57173,0.008713,0.008713,0.008713
15,14641.5,0.822,0.75668,1.1562,0.47182,0.33129,0.34512,0.20351,1.44019,1.24514,1.54852,0.008614,0.008614,0.008614
16,15560,0.8094,0.74825,1.14796,0.48012,0.31931,0.34648,0.20304,1.44904,1.18292,1.56588,0.008515,0.008515,0.008515
17,16666,0.79584,0.73159,1.13823,0.48621,0.32902,0.34552,0.2057,1.41858,1.13477,1.54954,0.008416,0.008416,0.008416
18,17788.6,0.78887,0.72619,1.13108,0.49213,0.33527,0.35686,0.20934,1.41265,1.14372,1.54054,0.008317,0.008317,0.008317
19,18819.1,0.77619,0.71082,1.12438,0.47264,0.33836,0.35678,0.2099,1.41345,1.1195,1.53881,0.008218,0.008218,0.008218
20,19550.2,0.76351,0.69831,1.11697,0.51275,0.33422,0.35658,0.21193,1.40019,1.11558,1.53597,0.008119,0.008119,0.008119
21,20260.1,0.75666,0.68837,1.11165,0.50324,0.34355,0.37138,0.22375,1.40053,1.10278,1.53165,0.00802,0.00802,0.00802
22,20971,0.75275,0.68841,1.10906,0.51509,0.35172,0.37509,0.22509,1.38545,1.10401,1.52072,0.007921,0.007921,0.007921
23,21680.2,0.74307,0.6796,1.10024,0.48856,0.35045,0.35914,0.21493,1.4151,1.16917,1.55001,0.007822,0.007822,0.007822
24,22389.5,0.73466,0.66724,1.09343,0.48003,0.33923,0.35171,0.21361,1.41493,1.15025,1.55145,0.007723,0.007723,0.007723
25,23099.8,0.73123,0.65726,1.09028,0.49816,0.34473,0.37063,0.22263,1.39744,1.13966,1.52688,0.007624,0.007624,0.007624
26,23810.6,0.7206,0.65127,1.0854,0.50177,0.33495,0.35813,0.21737,1.39738,1.15778,1.53151,0.007525,0.007525,0.007525
27,24520,0.71798,0.65014,1.08281,0.48485,0.34415,0.36657,0.22194,1.40008,1.12458,1.54943,0.007426,0.007426,0.007426
28,25229.3,0.7125,0.64271,1.0781,0.51966,0.33583,0.37338,0.22692,1.38489,1.09199,1.52841,0.007327,0.007327,0.007327
29,25940.2,0.70834,0.63585,1.07389,0.52724,0.34763,0.38254,0.22862,1.38875,1.07545,1.53169,0.007228,0.007228,0.007228
30,26651.1,0.70263,0.63257,1.07163,0.48543,0.35692,0.37851,0.22942,1.38724,1.12972,1.54004,0.007129,0.007129,0.007129
31,27360,0.69481,0.62183,1.067,0.52801,0.3381,0.37119,0.22532,1.39195,1.109,1.54316,0.00703,0.00703,0.00703
32,28069,0.69295,0.61994,1.06314,0.48764,0.34896,0.3734,0.22776,1.38765,1.18445,1.52668,0.006931,0.006931,0.006931
33,28779.1,0.68676,0.61636,1.06187,0.52365,0.3421,0.37987,0.23192,1.38524,1.1251,1.53028,0.006832,0.006832,0.006832
34,29490.2,0.68587,0.61112,1.05757,0.49354,0.35795,0.38433,0.23603,1.37281,1.09113,1.51662,0.006733,0.006733,0.006733
35,30200,0.67915,0.60628,1.05575,0.51869,0.34526,0.37479,0.23126,1.38662,1.13219,1.53933,0.006634,0.006634,0.006634
36,30910.6,0.67523,0.60428,1.05325,0.51783,0.34263,0.36972,0.22579,1.38177,1.11156,1.53455,0.006535,0.006535,0.006535
37,31620.5,0.66706,0.59469,1.04635,0.51922,0.35809,0.37686,0.23216,1.38625,1.12311,1.54263,0.006436,0.006436,0.006436
38,32330.3,0.66956,0.59005,1.04596,0.51624,0.35367,0.38644,0.23714,1.37749,1.11504,1.52968,0.006337,0.006337,0.006337
39,33040.9,0.6637,0.58507,1.04231,0.52756,0.35127,0.38702,0.23501,1.38209,1.14127,1.5297,0.006238,0.006238,0.006238
40,33751.8,0.65908,0.5811,1.04108,0.50887,0.36057,0.37231,0.22952,1.38444,1.15241,1.5387,0.006139,0.006139,0.006139
41,34462.1,0.65439,0.57434,1.03759,0.5241,0.35731,0.38183,0.23344,1.38409,1.14145,1.53097,0.00604,0.00604,0.00604
42,35174.3,0.65477,0.57789,1.03441,0.53041,0.34922,0.38104,0.23489,1.37399,1.12916,1.53182,0.005941,0.005941,0.005941
